circuit_type,strategy,t_count,total_gates,avg_gate_fidelity,infidelity,frobenius_dist
minimal,RPA-effort3,2,5,0.4223645814429752,0.5776354185570248,3.3139672285329014
minimal,RPA-effort5,2,5,0.4223645814429752,0.5776354185570248,3.3139672285329014
basic_trotter1,RPA-effort3,3,5,0.4061659669696219,0.5938340330303781,2.904144281412852
basic_trotter1,RPA-effort5,3,5,0.4061659669696219,0.5938340330303781,2.904144281412852
basic_trotter2,RPA-effort3,0,3,0.42009066296261743,0.5799093370373826,2.4188295228170063
basic_trotter2,RPA-effort5,0,3,0.42009066296261743,0.5799093370373826,2.4188295228170063
symmetric,RPA-effort3,0,2,0.22644869113811233,0.7735513088618877,3.074835236571355
symmetric,RPA-effort5,0,2,0.22644869113811233,0.7735513088618877,3.074835236571355
rich,RPA-effort3,3,5,0.7619361312884236,0.23806386871157637,1.3464051327808066
rich,RPA-effort5,3,5,0.7619361312884236,0.23806386871157637,1.3464051327808066
